sentence_id_1,sentence_id_2
B0137002p,S0022948006p
B0691012p,S0023235007p
B0228001sc,S0000726003sc
B0781002p,S0016904011p
B0360002p,S0023525004p
B0254008p,S0017427002p
B1061001sc,S0019198002sc
B0217001p,S0022814001p
B0217007p,S0053291007p
B0166002p,S0051998007p
B0494005p,S0017884002p
B0791002p,S0023413007p
B0347001p,S0019340004p
B0288002p,S0020556008p
B0866005p,S0053171005p
B0710010p,S0020349003p
B0178001sc,S0020490001sc
B0712001sc,S0023307001sc
B0780002p,S0018125004p
B0895008p,S0016791003p
B0223001p,S0020349005p
B0533006p,S0021161005p
B0182005p,S0024268005p
B0775008p,S0022601008p
B0657008p,S0001015010p
B0270003p,S0024348006p
B0762003p,S0020990008p
B0285005p,S0016681007p
B0505007p,S0022634001p
B0118009p,S0016414009p
B0272001p,S0023551003p
B0161001p,S0023222007p
B0316007p,S0004191003p
B0179002p,S0023394005p
B0659002sc,S0020398002sc
B0513006p,S0024004005p
B0111003p,S0022920004p
B0125003p,S0016480003p
B0259003p,S0023261010p
B0248002p,S0080012010p
B0505007p,S0023216003p
B0758002p,S0000726007p
B0381005p,S0024247007p
B0526003p,S0051998007p
B0194013p,S0020081003p
B0106004p,S0022580008p
B0777001sc,S0020861002sc
B0085001sc,S0023715001sc
B0251005p,S0023467006p
B1195007p,S0023131004p
B0778004p,S0053171009p
B1092002p,S0024004005p
B0182001p,S0023617001p
B0530008p,S0019179004p
B0763001p,S0010925009p
B0682006p,S0020897004p
B0504001sc,S0024091002sc
B0771001sc,S0052964003sc
B0082004p,S0053164003p
B0234005p,S0022850008p
B1200001sc,S0024343001sc
B0171003p,S0051674007p
B0504005p,S0051998007p
B0777006p,S0017943008p
B0774001p,S0020500008p
B0787001sc,S0020221002sc
B0779002sc,S0019665001sc
B0783002p,S0018303008p
B0032001sc,S0023457001sc
B0287001sc,S0023560002sc
B0104004p,S0023394005p
B0090006p,S0022669006p
B0166005p,S0017149001p
B0228009p,S0023251001p
B0277002p,S0023855004p
B0260001p,S0022722002p
B0504006p,S0022748008p
B0346004p,S0053569003p
B0287001sc,S0010869002sc
B0300005p,S0017427002p
B0784002p,S0052792008p
B1162001p,S0052529005p
B0179002p,S0023807005p
B0253001p,S0051893003p
B0662003sc,S0004532002sc
B0239007p,S0020456006p
B0519002p,S0080524003p
B0537001p,S0023982001p
B0427007p,S0051646005p
B0086002sc,S0010712003sc
B0971001sc,S0051609002sc
B0164001p,S0022919006p
B0781002p,S0020249002p
B0202004p,S0024320002p
B0121010p,S0010851005p
B0257008p,S0023484003p
B0174006p,S0052792009p
B0033003p,S0016562008p
B0355004p,S0018080006p
B0754003p,S0016607009p
B0765004p,S0023470001p
B0297005p,S0022623001p
B0503004p,S0022997007p
B0404004sc,S0051765001sc
B0153003p,S0053085006p
B0024003p,S0053085009p
B0174006p,S0019912005p
B0376004p,S0001428003p
B0192006p,S0022660007p
B0178004p,S0021167002p
B0347001sc,S0016480005sc
B0516001p,S0080012002p
B0172009p,S0051893008p
B0295002p,S0080524003p
B0803002sc,S0070556001sc
B0784007p,S0016420009p
B0709009p,S0023578001p
B1136006p,S0023811005p
B0491002p,S0022660009p
B0893007p,S0020686007p
B0156010p,S0024402006p
B0763001p,S0023677012p
B0304005p,S0017197005p
B0240008p,S0021058003p
B0539001p,S0053175008p
B0761005p,S0051740004p
B0110005p,S0020378010p
B0255007p,S0051901007p
B0694007p,S0018391006p
B0686002sc,S0022660003sc
B0159004p,S0022722002p
B0032006p,S0023523001p
B0457004p,S0018353001p
B0306008p,S0024004005p
B0712008p,S0023880008p
B0085001sc,S0020258003sc
B0739008p,S0020456004p
B0999006p,S0024303005p
B0779007p,S0022855010p
B0278012p,S0023528006p
B0539003p,S0020332007p
B0521001p,S0020998010p
B0309004p,S0019998008p
B0231003p,S0018494004p
B0525002p,S0023413006p
B0040007p,S0019204010p
B0364011p,S0021142003p
B0376004p,S0021102008p
B0523001p,S0023753007p
B0778005p,S0017077007p
B0769007p,S0022839006p
B0348005p,S0051839006p
